YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS
2016.04.21 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5217;28410;56203;66797;15;-1;7.5;-0.492708;-52.7;90;0;0;0
2016.04.21 23:30;R;CDGDIFK0K4LYPFRWSPT0tu;5751;31870;59003;63434;16;-1;7.5;-4.23455;-58.4;90;0;0;0
2016.04.22 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5794;32422;56203;54911;22;-1;7.5;-0.485417;-60.8;90;0;0;0
2016.04.22 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5615;31940;56203;59064;19;-1;7.5;-4.16064;-61.1;90;0;0;0
2016.04.23 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5608;32209;56203;49800;27;-1;7.25;2.78865;-65.9;90;0;0;0
2016.04.23 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5414;31851;56203;38288;33;-1;7.25;2.11848;-66.9;90;0;0;0
2016.04.24 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4710;25897;56203;30439;25;-1;7.5;6.04792;-65.1;90;0;0;0
2016.04.24 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4966;29634;56203;40615;21;-1;7.5;5.21319;-64.4;90;0;0;0
2016.04.25 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;2026;10563;56203;24916;23;-1;6;7.02257;-61.6;90;0;0;0
2016.04.25 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5529;30906;56203;69066;15;-1;7.5;2.22708;-60.2;90;0;0;0
2016.04.26 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5616;32476;56203;54006;22;-1;7.5;5.06222;-61;90;0;0;0
2016.04.26 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6198;33086;56203;49399;30;-1;7.5;0.0197917;-61.1;90;0;0;0
2016.04.27 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6060;32220;56203;36914;33;-1;7.25;1.45521;-56.4;90;0;0;0
2016.04.27 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5699;32458;56203;66730;16;-1;7.5;-2.89149;-57.1;90;0;0;0
2016.04.28 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5653;32333;56203;76404;10;-1;7.5;-5.40667;-58.1;90;0;0;0
2016.04.28 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4081;23362;56203;65343;13;-1;7.5;-9.14823;-51.7;90;0;0;0
2016.04.29 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;3216;13422;56203;44427;16;-1;6.5;-10.4989;-48.8;90;0;0;0
2016.04.29 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6300;33387;56203;61125;22;-1;7.5;-14.4128;-51.7;90;0;0;0
2016.04.30 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6088;33555;56203;57892;18;-1;7.5;-10.5667;-53.2;90;0;0;0
2016.04.30 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6194;33836;56203;53926;18;-1;7.5;-15.7465;-52.8;90;0;0;0
