YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS
2016.10.01 11:30;R;CDGDIFK0K4LYPFP1RWSPT0tu;4347;27213;58903;109418;9.42;11598;7.5;17.0978;-61.4;89;-80.1819;33.6364
2016.10.01 23:30;R;CDGDIFK0K4LYPFP1RWSPT0tu;5236;29567;58903;108180;10.43;-1;7.5;10.3468;-62.6;89;-77.135;26.3667
2016.10.02 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5066;27588;58903;83922;14.43;-1;7.25;17.4095;-68.5;89;-98.4532;17.5625
2016.10.02 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5131;31172;58903;78167;16.37;-1;7.25;15.1611;-64.7;89;-107.365;17.9737
2016.10.03 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5056;29940;58903;77226;15.61;-1;7.5;18.9872;-65.4;89;-99.3918;18.5
2016.10.03 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5226;30370;58903;72592;14.85;-1;7.5;11.1745;-64.4;89;-113.987;19.3103
2016.10.04 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4872;29270;58903;54856;18.3;-1;7.5;18.4989;-63.5;89;-139.815;18.1852
2016.10.04 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4072;24908;58903;30446;31.5;-1;7.5;12.0409;-60.7;89;-170.444;9.47059
2016.10.05 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5268;30973;58903;35759;37.55;-1;7.5;16.7422;-60.9;89;-179.651;7.14286
2016.10.05 23:30;R;CDGDIFK0K4LYPFP1RWSPT0tu;4453;27424;58903;37039;20.39;-1;7.5;9.81071;-61.3;89;179.89;10.5625
2016.10.06 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5152;31061;58903;43455;30.05;-1;7.5;9.1415;-62.4;89;-172.42;7.16667
2016.10.06 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4451;26110;58903;38916;33.13;-1;7.5;8.64222;-62.5;89;168.954;9.42105
2016.10.07 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4682;26710;58903;54964;20.5;-1;7.5;10.5878;-60.2;89;-165.161;14.9688
2016.10.07 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4694;29716;58903;55854;20.84;-1;7.5;9.26739;-61.8;89;-130.829;14.4
