YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS
2016.10.08 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4765;29555;58903;56796;23.41;-1;7.5;10.887;-62.7;89;-150.362;10.5172
2016.10.08 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4651;28682;58903;31678;24.12;-1;7.5;9.23244;-65.4;89;143.701;9.4375
2016.10.09 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4724;29147;58903;30340;23.19;-1;7.5;6.26512;-62.5;89;124.668;9.14706
2016.10.09 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4033;24244;58903;27322;21.95;-1;7.5;4.07717;-62.4;89;107.872;11.1429
2016.10.10 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4571;28014;58903;29287;25.48;-1;7.5;3.65652;-62.8;89;104.148;10.0857
2016.10.10 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4012;23802;58903;33263;24.7;-1;7.25;1.11304;-62.8;89;72.8572;12.2581
2016.10.11 11:30;R;CDGDIFK0K4LYPFP1RWSPT0tu;4243;24371;58903;35849;26.34;-1;7.25;3.34884;-62.4;89;42.4565;11.5517
2016.10.11 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4184;24819;58903;41303;20.62;-1;7.25;2.04891;-62.1;89;46.5079;16.6571
2016.10.12 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5419;30675;58903;52640;22.03;-1;7.25;2.73444;-63.2;89;24.7449;14.2581
2016.10.12 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6555;33612;58903;82701;21.64;-1;7.5;1.51667;-62.3;89;-5.18877;11.7742
2016.10.13 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5179;30924;58903;55418;32.6;-1;7.5;0.556522;-64.1;89;-6.32898;9.80769
2016.10.13 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5070;30678;58903;65053;23.87;-1;4.75;-1.64205;-65;89;-22.5299;14.9167
2016.10.14 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5250;30338;58903;74455;17.56;-1;7.5;3.83139;-60.9;89;-28.1816;18.8966
2016.10.14 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4145;23417;58903;57921;19.58;-1;7.5;1.94041;-62.2;89;-26.0973;17.8056
2016.10.15 11:30;R;CDGDIFK0LYPFP1RWSPT0tu;4910;29002;58903;44838;33.72;-1;7.5;3.64556;-61.4;89;43.272;8.29032
2016.10.15 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5147;29824;58903;61399;19.28;-1;7.5;1.90651;-63;89;30.0822;16.4516
2016.10.16 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5154;31059;58903;85236;11.39;-1;7.5;3.64596;-61.2;89;41.5264;27.7391
2016.10.16 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5432;30875;58903;81654;14.52;-1;7.25;0.691305;-63;89;17.8795;18.4167
2016.10.17 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5202;30312;58903;67970;19.24;-1;7.5;1.99787;-61.9;89;21.8118;14.2069
2016.10.17 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;3823;16879;58903;33526;29.14;-1;7;2.6144;-62.7;89;-8.23138;8.075
2016.10.18 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4954;28557;58903;50630;31.36;-1;7.5;2.75;-63.7;89;-52.9143;8.21875
2016.10.18 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4422;27302;58903;39880;37.68;-1;7.5;1.74456;-64.6;89;-81.7132;9.22857
2016.10.19 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5020;28866;58903;36464;52.08;-1;7.5;1.72326;-62.4;89;72.1762;7.73913
2016.10.19 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5194;29316;58903;38722;39.31;-1;7.5;1.03888;-63.8;89;74.1439;8.4
2016.10.20 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5911;32645;58903;41922;46.29;-1;7.5;0.582609;-62.5;89;56.1676;6.29032
2016.10.20 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4428;25562;58903;29534;58.04;-1;7.5;0.153261;-64.6;89;74.2351;4.09677
2016.10.21 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4860;28719;58903;39023;47.08;-1;7.5;0.254444;-63.6;89;-66.7993;5.3913
2016.10.21 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4913;29132;58903;58990;26.63;-1;7.5;-0.321277;-62.3;89;-57.4426;13
2016.10.22 11:30;R;CDGDIFK0LYPFP1RWSPT0tu;3614;20806;58903;46652;22.62;-1;7.5;2.438;-64.6;89;-27.4111;13.5455
2016.10.22 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4476;27755;58903;53673;28.25;-1;7.5;2.03174;-65;89;-7.76428;14.9706
2016.10.23 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4030;20950;58903;27302;27.81;-1;7.5;4.39043;-62.8;89;91.6219;7.68421
2016.10.23 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4625;29043;58903;36269;26.04;-1;7.5;-2.61767;-66.4;89;116.981;11.9
2016.10.24 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4739;26270;58903;47498;19.17;-1;7.5;0.876744;-65;89;137.099;13.375
2016.10.24 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;3661;19758;58903;35135;21.74;-1;7.25;-1.1125;-68.3;89;152.84;10.2581
2016.10.25 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4680;28243;58903;34245;29.6;-1;7.5;1.50936;-69.2;89;-125.67;8.9
2016.10.25 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4729;28916;58903;34428;15.67;-1;7.5;-2.57717;-67.2;89;-137.414;4.72727
2016.10.26 11:30;R;CDGDIFK0K4LYPFP1RWSPT0tu;4443;27194;58903;37678;23.14;-1;7.5;2.50116;-67.5;89;-147.295;10.0294
2016.10.26 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4908;28940;58903;39254;20.37;-1;7.5;-2.88711;-63.6;89;-162.357;10.75
2016.10.27 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4277;26906;58903;32881;27.91;-1;7.25;1.78152;-67.2;89;-158.709;9.82353
2016.10.27 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4388;26717;58903;29531;38.47;-1;7.25;-2.53217;-66.4;89;84.1428;9
2016.10.28 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5193;30665;58903;51591;36.26;-1;7.25;2.17681;-64.8;89;-40.6247;4.93333
2016.10.28 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4692;27388;58903;43434;19.93;-1;7.5;-1.34457;-67.2;89;-114.976;8.74194
2016.10.29 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4438;26382;58903;34785;18.06;-1;7.5;-1.96712;-64.9;89;-179.74;12.6857
2016.10.29 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4690;27907;58903;31753;30.43;-1;7.5;-2.1814;-67.8;89;96.3257;11.4
2016.10.30 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4951;30363;58903;39685;25.18;-1;7.5;-1.19302;-70;89;90.4886;14.84
2016.10.30 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4789;28726;58903;42681;27.15;-1;7.5;-0.676;-70.5;89;63.9302;12.8065
2016.10.31 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5404;31744;58903;56937;32.33;-1;7.5;-2.56222;-68.6;89;20.1831;9.23529
2016.10.31 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4623;27031;58903;43470;38.21;-1;7.5;-4.27739;-69.9;89;73.4668;5.03704
