YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS
2017.03.01 11:30;R;CDGDIFK0LYRWSPT0tu;5397;30127;58903;149200;11;-1;7.5;-6.65543;-70.2;89;0;0;156
2017.03.01 23:30;R;CDGDIFK0LYRWSPT0tu;4551;23419;58903;112885;11.52;-1;7.5;-5.91304;-71;89;0;0;77
2017.03.02 11:30;R;CDGDIFK0LYRWSPT0tu;5201;22948;58903;149204;8.25;10767;7.5;-1.51744;-70.3;89;0;0;112
2017.03.02 23:30;R;CDGDIFK0LYRWSPT0tu;4416;22974;58903;106441;12.03;-1;7.5;-1.25308;-72.6;89;0;0;34
2017.03.03 11:30;R;CDGDIFK0LYRWSPT0tu;5609;22839;52903;148537;8.25;13216;7.5;1.75992;-74.9;29;0;0;40
2017.03.03 23:30;R;CDGDIFK0LYRWSPT0tu;5624;23964;58903;149137;8.42;10698;7.5;-1.5913;-75.7;89;0;0;9
2017.03.04 11:30;R;CDGDIFK0LYRWSPT0tu;5282;24295;58903;148492;8.77;12192;7.25;1.34484;-75.4;89;0;0;34
2017.03.04 23:30;R;CDGDIFK0LYRWSPT0tu;4481;19976;58903;133341;8.08;10750;7.25;0.61087;-75.1;89;0;0;36
2017.03.05 11:30;R;CDGDIFK0LYRWSPT0tu;4754;22357;58903;149191;7.79;10224;7.5;0.238587;-72.3;89;0;0;59
2017.03.05 23:30;R;CDGDIFK0LYRWSPT0tu;5105;26611;58903;149160;9.68;24352;7.5;-2.33298;-73.4;89;0;0;79
2017.03.06 11:30;R;CDGDIFK0LYRWSPT0tu;5295;25147;58903;149170;9.11;10566;7.5;0.682979;-73.5;89;0;0;59
2017.03.06 23:30;R;CDGDIFK0LYRWSPT0tu;3993;18665;58903;125031;7.1;6598;7.25;-0.560816;-72.2;89;0;0;119
2017.03.07 11:30;R;CDGDIFK0LYRWSPT0tu;238;54;712;287;0.69;-1;2.75;-10.4;-10.5;89;0;0;0
2017.03.07 23:30;R;CDGDIFK0LYRWSPT0tu;3138;14591;58903;41332;20;-1;6.5;-8.50326;-66.2;89;0;0;9
2017.03.08 11:30;R;CDGDIFK0LYRWSPT0tu;2311;9869;58903;43670;12.83;-1;6;-9.23837;-64.1;89;0;0;0
2017.03.08 23:30;R;CDGDIFK0LYRWSPT0tu;4976;24986;58903;93121;13.29;-1;7.25;-9.86087;-74;89;0;0;18
2017.03.09 11:30;R;CDGDIFK0LYRWSPT0tu;6893;28124;58903;99025;14.5;-1;7.25;-2.72979;-74.2;89;0;0;40
2017.03.09 23:30;R;CDGDIFK0LYRWSPT0tu;3611;17039;58903;53623;17.88;-1;7;-8.50408;-69.8;89;0;0;3
2017.03.10 11:30;R;CDGDIFK0LYRWSPT0tu;3477;16330;58903;64985;13.52;-1;6.75;-2.23721;-67.1;89;0;0;4
2017.03.10 23:30;R;CDGDIFK0LYRWSPT0tu;4394;20452;58903;81097;14.21;-1;7.5;-3.32446;-68.9;89;0;0;41
2017.03.11 11:30;R;CDGDIFK0LYRWSPT0tu;5441;24572;58903;124460;10.89;-1;7.5;0.556649;-72.8;89;0;0;29
2017.03.11 23:30;R;CDGDIFK0LYRWSPT0tu;5583;28871;58903;148762;9.97;11292;7.25;-1.43404;-63.7;89;0;0;76
2017.03.12 11:30;R;CDGDIFK0LYRWSPT0tu;5818;29716;58903;148627;10.43;-1;7.5;1.55266;-63.5;89;0;0;72
2017.03.12 23:30;R;CDGDIFK0LYRWSPT0tu;4120;21170;58903;149138;7.1;6840;7.5;-2.66786;-63.1;89;0;0;39
2017.03.13 11:30;R;CDGDIFK0LYRWSPT0tu;3452;17261;58903;118321;7.68;7859;7;1.20532;-61.8;89;0;0;21
2017.03.13 23:30;R;CDGDIFK0LYRWSPT0tu;2388;11173;58903;58937;10.66;-1;6;-10.3347;-53.7;89;0;0;15
2017.03.14 11:30;R;CDGDIFK0LYRWSPT0tu;3370;14897;58903;68195;11.92;-1;6.25;-5.31047;-61.2;89;0;0;4
2017.03.14 23:30;R;CDGDIFK0LYRWSPT0tu;4627;22278;56003;89196;13.52;-1;7.5;-12.0512;-61.8;60;0;0;62
2017.03.15 11:30;R;CDGDIFK0LYRWSPT0tu;4317;20831;58903;72746;16.33;-1;7.5;-4.60226;-67.5;89;0;0;20
2017.03.15 23:30;R;CDGDIFK0LYRWSPT0tu;2904;14025;56003;44727;17.65;-1;6.5;-9.24429;-66.2;60;0;0;9
2017.03.16 11:30;R;CDGDIFK0LYRWSPT0tu;6409;33613;59003;138818;13.46;-1;7.5;-0.971802;-72.6;90;0;0;121
2017.03.16 23:30;R;CDGDIFK0LYRWSPT0tu;6307;31392;58903;118452;14.9;-1;7.5;-5.43492;-74.2;89;0;0;75
