YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS;SHGHT;LERRT;LERRH
2016.09.01 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6180;30747;58803;59723;21.17;-1;10;8.47754;-55.9;88;-31.2381;9.03846;0;-14;0;0.3
2016.09.01 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6558;33551;58803;51175;24.55;-1;10;10.65;-54.6;88;-28.0702;5.64706;0;30;0.1;1.6
2016.09.02 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5255;27907;58803;44651;28.8;-1;10;7.50786;-55.4;88;-61.009;4.85294;0;-15;0;0.3
2016.09.02 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6225;31936;58803;40414;37.27;-1;10;11.2152;-55.2;88;116.957;5.125;0;29;0.1;0.1
2016.09.03 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;1866;9383;58803;9651;52.42;-1;7;11.9674;-46.7;88;72.1071;4.70588;0;-15;0;0.1
2016.09.03 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6434;32726;58803;43482;38.11;-1;10;10.5063;-55;88;22.6038;4.52941;0;29;0;0.1
2016.09.04 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6439;34024;58803;45945;30.18;-1;10;11.8565;-54.7;88;92.4206;4.51724;0;-15;0;0.1
2016.09.04 23:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6234;33238;58803;37899;30.82;-1;10;11.913;-54.5;88;104.7;10.6786;0;29;0;0.1
2016.09.05 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6454;31923;58803;40645;29.21;-1;10;10.2022;-56.2;88;109.31;10.36;0;-16;0;0.4
2016.09.05 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5069;25679;58803;32112;30.13;-1;10;13.0896;-57.2;88;111.68;10.5185;0;28;0;0
2016.09.06 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5987;30087;58803;32958;31.28;-1;10;8.35667;-56.4;88;125.182;8.92308;0;-16;0.1;0.1
2016.09.06 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6001;31108;58803;31271;34.22;-1;10;4.87889;-57.3;88;154.577;7.96774;0;28;0;0
