YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS;SHGHT;LERRT;LERRH
2016.09.07 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5904;30481;58803;35066;33.74;-1;10;9.14556;-56.6;88;-149.158;5.88889;0;-17;0;2.8
2016.09.07 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5972;32781;58803;46097;29.38;-1;10;13.7156;-57.7;88;-107.356;8.28571;0;28;0;0.1
2016.09.08 11:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6785;33864;58803;60019;20.54;-1;10;12.6598;-54.4;88;-110.836;13.1034;0;-17;0;0.3
2016.09.08 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;3891;17458;58803;57172;15.04;-1;9.33333;11.1402;-56;88;-72.1905;18;0;27;0.2;0.3
2016.09.09 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6961;33773;58803;87956;13.19;-1;10;9.48674;-56.4;88;-94.7569;18.9565;0;-17;0;0.1
2016.09.09 23:35;A;CDIFK4SPT3tu;0;0;52803;0;-1;-1;6.66667;-1;0;0;-77.2123;17.9286;0;31;-0.5;-3
2016.09.10 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6595;33233;58803;66335;23.31;-1;10;5.60244;-55;88;-62.4015;8.06452;0;-18;0.1;0
2016.09.10 23:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5883;31837;58803;52823;29.45;-1;10;6.69217;-54.4;88;-53.1386;7.47059;0;27;0;0.4
2016.09.11 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;2271;12114;58803;22180;28.25;-1;8.33333;4.8263;-53.9;88;-51.4907;9.65517;0;-18;0.1;0.1
2016.09.11 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6118;33000;58803;46035;27.46;-1;10;3.94667;-53.4;88;-1.54262;10.72;0;26;0.1;1.2
2016.09.12 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5182;27368;58803;50275;19.79;-1;10;4.77476;-56.2;88;-0.743825;15.45;0;-18;0.1;3.9
2016.09.12 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6385;32898;58803;55511;19.65;-1;10;3.25544;-54.5;88;-28.5884;14;0;26;0;1.9
2016.09.13 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6200;33133;58803;50269;19.26;-1;10;-0.530435;-53.5;88;-9.42848;13.0323;0;-19;0.1;1.4
2016.09.13 23:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6045;32294;58803;41731;20.26;-1;10;0.921905;-54.3;88;77.3181;11.1364;0;26;0;0.4
2016.09.14 11:33;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5035;23823;58803;40179;24.59;-1;10;0.891628;-55.9;88;92.3739;10.2;0;-19;0;2.5
2016.09.14 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6133;32968;58803;37889;26.81;-1;10;0.464706;-57.2;88;93.8389;5.84375;0;25;0.2;1.5
2016.09.15 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;4894;24063;58803;26825;48.94;-1;10;-0.0800274;-55.5;88;-156.238;4.77778;0;-20;0;0.5
2016.09.15 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5898;32968;58803;33543;55.01;-1;10;0.891848;-55.9;88;-129.745;4.96875;0;25;0.1;3
2016.09.16 11:31;R;CDGDIFK0LYPFP1RWSPT0T3tu;5819;30664;58803;38402;32.84;-1;10;0.705217;-60.4;88;44.5909;9.04;0;-20;0.1;4.3
2016.09.16 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6103;32389;58803;39351;30.26;-1;10;0.683851;-57.7;88;40.1948;8.04;0;25;0.1;0.1
2016.09.17 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6224;31878;58803;40719;27.13;-1;10;5.35698;-59.9;88;53.6098;9.96552;0;-20;0;0.2
2016.09.17 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;2173;10063;58803;22368;26.07;-1;8;3.32391;-58.3;88;58.9932;10.8571;0;24;0.2;0.4
2016.09.18 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5459;27227;58803;40561;24.08;-1;10;5.41729;-61.1;88;51.8164;10.2727;0;-21;0;0.2
2016.09.18 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6328;32391;58803;36500;22.83;-1;10;5.4631;-60.5;88;25.3202;9.53846;0;24;0;0.2
2016.09.19 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5347;27866;58803;35954;23.47;-1;10;3.35504;-58.5;88;2.02678;7.75;0;-21;0.2;0
2016.09.19 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;1832;9320;58803;17262;28.47;-1;7.66667;2.48587;-54.4;88;3.55811;7.9;0;24;0;0
2016.09.20 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5986;31729;58803;41984;26.26;-1;10;1.84826;-56.4;88;26.0602;9.93333;0;-22;0.1;0.3
2016.09.20 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5880;31481;58803;44379;21.15;-1;10;0.757778;-56.2;88;38.7045;13.5172;0;23;0;0.9
2016.09.21 11:30;R;CDGDIFK0LYPFP1RWSPT0tu;1126;3552;58803;12118;15.96;-1;3.66667;2.23478;-27.8;88;6.89178;19.4444;0;-22;0.1;0
2016.09.21 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6220;31624;58803;40476;44.28;-1;10;0.916304;-59.5;88;11.1174;4.25806;0;23;0.2;0.2
2016.09.22 11:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5303;26176;58803;53503;21.69;-1;10;2.84131;-59.4;88;-99.6975;13.48;0;-23;0.1;1.5
2016.09.22 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6532;32378;58803;82014;18.33;-1;10;2.98269;-59.9;88;-90.4966;14.5;0;23;0.2;0.1
2016.09.23 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6347;33179;58803;83467;20.32;-1;10;4.10903;-58.9;88;-109.883;12.4;0;-23;0.1;3.3
2016.09.23 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5980;32162;58803;71752;23.84;-1;10;3.2934;-58.4;88;-117.361;9.30769;0;22;0;0.8
2016.09.24 11:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6215;32528;58803;72198;26.45;-1;10;3.53207;-56.3;88;-154.144;8.54545;0;-23;0;1.1
2016.09.24 23:30;A;CDIFK4RWSPT3tu;6455;32802;52803;67766;23.2;-1;9.66667;3.6032;-56.2;0;-109.854;4.61905;0;26;-0.5;5
2016.09.25 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6191;33510;58803;121438;9.63;10566;10;1.73935;-59.3;88;-89.8242;31.7586;0;-24;0;0
2016.09.25 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5805;31995;58803;99168;12.68;-1;10;-0.129783;-59.6;88;-150.473;27.5714;0;21;0.1;3.8
2016.09.26 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5863;28330;58803;83279;12.78;-1;10;-0.747442;-56.1;88;-163.508;23.069;0;-24;0;0
2016.09.26 23:31;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6302;31223;58803;63408;24.75;-1;10;-2.02186;-53.8;88;-163.099;11;0;21;0;1.5
2016.09.27 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;3231;15651;58803;25159;37.84;-1;9;-3.71087;-52.4;88;-115.824;6.71429;0;-24;0;1.1
2016.09.27 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5840;32095;58803;66370;26.22;-1;10;-5.62222;-55.3;88;-122.139;12.9286;0;21;0;0.4
2016.09.28 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5445;27800;58803;42850;30.78;-1;10;-3.62667;-55.1;88;-177.192;10.3448;0;-25;0.1;0.1
2016.09.28 23:34;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;6391;33606;58803;44786;20.35;-1;10;-2.25762;-53.7;88;110.534;10.2308;0;21;0;0
2016.09.29 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5756;31713;58803;38900;11.86;-1;10;-2.2314;-56.2;88;80.0634;18.6774;0;-25;0;1
2016.09.29 23:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5659;31418;58803;36931;15.6;-1;10;-2.54326;-55.6;88;9.60201;19.4231;0;20;0;0.3
2016.09.30 11:30;R;CDGDIFK0K4LYPFP1RWSPT0T3tu;5733;29267;58803;38501;17.93;-1;10;-2.41217;-52.9;88;-42.9197;14.6667;0;-26;0;0.5
2016.09.30 23:30;R;CDGDIFK0LYPFP1RWSPT0tu;1818;9013;58803;20017;19.05;-1;7;-2.34405;-49.8;88;-33.1247;25.3333;0;20;0.1;0.1
2016.09.21 12:04;R?;CDGDIFK0K4LYPFP1RWSPT0T3tu;5922;27619;58803;52791;17.26;-1;9.66667;2.18936;-58;88;54.2051;16.9;0;-24;0.1;0.5
